id,projectid,PersonId,Taskname,cost,start,end,Delay_start,Delay_end
6,p1,1007,Task 06,65,2019/02/12,2019/02/25,0,2
14,p1,1007,Task 14,40,2019/02/26,2019/03/04,0,0
8,p1,1007,Task 08,22,2019/03/05,2019/03/07,0,0
1,p1,1007,Task 01,4,2019/03/08,2019/03/08,0,0
5,p1,1008,Task 05,100,2019/02/12,2019/03/04,0,0
13,p1,1008,Task 13,60,2019/03/05,2019/03/15,0,0
10,p1,1008,Task 10,18,2019/03/18,2019/03/21,0,0
2,p1,1008,Task 02,15,2019/03/22,2019/03/25,0,0
11,p1,1010,Task 11,34,2019/02/12,2019/02/18,0,0
3,p1,1010,Task 03,30,2019/02/19,2019/02/25,0,0
15,p2,1008,Task 15,45,2019/03/26,2019/04/03,0,0
18,p2,1008,Task 18,13,2019/04/04,2019/04/08,0,0
16,p2,1010,Task 16,72,2019/02/26,2019/03/12,0,0
19,p2,1007,Task 19,17,2019/03/11,2019/03/13,0,0
